Subject,Activity,MAE,RMSE,MAPE,R2,Pearson r,??5bpm (%),NaN (%)
P22,rest-1,14.59,18.76,19.51,-78.8,0.26,17.4,0
P22,rest-2,9.08,12.48,11.69,-58.77,-0.25,41.9,0
P22,rest-3,34.87,84.25,40.87,-867.87,-0.24,16.7,7.69
P22,rest-4,23.53,29.37,23.83,-517.72,-0.51,4.3,8
P22,rest-5,36.37,45.52,37.92,-9.75,-0.28,7.1,2.33
P22,screen-reading,2.44,3.17,3.24,-14.24,-0.14,93.5,0
P22,standing,15.07,27.43,18.46,-26.61,-0.34,21.4,0
P23,keyboard-typing,26.4,32.04,36.48,-122.9,0.23,0,0
P23,mobile-typing,7.55,9.46,10.24,-4.88,-0.56,45.2,0
P23,ssst-sing,26.86,26.91,26.94,-443.89,0.47,0,0
P23,jogging,34.28,39.73,28.12,-3.09,-0.16,7.4,0
P23,running,15.29,20.76,17.61,-15.84,-0.56,18.5,0
P23,walking,48.5,57.21,56.31,-474.5,-0.15,7.7,0
P23,meditation-1,3.2,3.95,4.32,-2.42,0.01,81.7,0
P23,meditation-2,5.35,8.58,6.4,-0.26,0.14,69.4,0
P23,rest-1,2.8,3.78,3.84,-4.43,-0.49,84.6,0
P23,rest-2,5.26,6.5,6.65,-50.16,-0.64,53.8,0
P23,rest-3,7.57,8.45,8.72,-15.6,0,22.2,0
P23,rest-4,18.86,24.01,19.06,-58.97,-0.52,7.7,0
P23,rest-5,23.32,29.92,15.48,-55.58,0.22,15.4,0
P23,screen-reading,2.72,3.33,3.4,-3.47,-0.48,88.1,0
P23,standing,5.25,8.85,6.28,-5.77,-0.16,73.2,0
P24,keyboard-typing,18.04,36.39,21.18,-345.72,0.1,28.6,0
P24,mobile-typing,5.61,7.17,6.53,-2.17,0.02,61.9,0
P24,ssst-sing,22.75,23.88,19.26,-285.49,-0.16,0,0
P24,jogging,41.54,54.29,51.94,-13406.66,-0.61,14.8,0
P24,running,47.73,64.41,53.29,-307.64,-0.38,7.7,0
P24,walking,59.83,73.14,67.34,-74.54,0.09,0,0
P24,meditation-1,4.13,5.2,5.47,-11.32,-0.13,66.7,0
P24,meditation-2,7.03,10.73,7.89,-0.42,0.04,58.3,0
P24,rest-1,8.98,10.06,10.16,-2.83,-0.3,22.2,0
P24,rest-2,3.12,4.31,3.86,-142.52,-0.44,84.6,0
P24,rest-3,8.66,11.2,8.77,-9.27,-0.09,44.4,0
P24,rest-4,13.14,14.89,12.24,-3.63,0.13,14.8,0
P24,rest-5,16.53,20.91,15.8,-173.76,-0.61,25.9,0
P24,screen-reading,4.18,5.22,4.94,-5.52,-0.13,69,0
P24,standing,5.17,6.59,5.79,-1.02,0.03,54.8,0
